order_id,order_reference,order_date,delivery_date,customer_id,customer_name,company,salesperson,region,country,city,product_id,product_name,product_category,product_brand,quantity,unit_price,gross_sales,discount,net_sales,tax,cost,revenue,profit,profit_margin_pct,shipping_cost,payment_method,order_status,warehouse,currency,exchange_rate,sales_channel,campaign_source,created_at
ORD-10014,REF-2023-837715,2023-04-20 16:00:00,2023-04-26,CUST-409,Customer_314,Company_168 LLC,Rep_17,Europe,Germany,Germany_City,PRD-1032,Samsung Electronics Model 86,Electronics,Samsung,48,434.63,20862.24,2086.22,18776.02,1502.08,15302.41,20278.1,3473.61,17.13,0.0,Bank Transfer,Shipped,WH-East,USD,1.0,Retail,Email,2023-04-20 15:52:00
ORD-10015,REF-2023-376807,2023-02-24 23:00:00,2023-03-06,CUST-617,Customer_251,Company_65 LLC,Rep_2,Europe,Germany,Germany_City,PRD-1378,Samsung Office Supplies Model 82,Office Supplies,Samsung,92,520.89,47921.88,9584.38,38337.5,3067.0,31326.3,41404.5,7011.2,16.93,0.0,Stripe,Shipped,WH-East,USD,1.0,Online,Email,2023-02-24 22:10:00
ORD-10016,REF-2023-824586,2023-03-08 20:00:00,2023-03-14,CUST-252,Customer_280,Company_10 LLC,Rep_12,Europe,France,France_City,PRD-3385,Herman Miller Software Model 71,Software,Herman Miller,72,24.41,1757.52,0.0,1757.52,140.6,1367.39,1898.12,390.13,20.55,0.0,PayPal,Delivered,WH-East,USD,1.0,Direct Sales,Email,2023-03-08 19:02:00
ORD-10017,REF-2023-885884,2023-01-21 11:00:00,2023-01-26,CUST-258,Customer_474,Company_61 LLC,Rep_6,Europe,France,France_City,PRD-4998,IKEA Electronics Model 23,Electronics,IKEA,100,844.23,84423.0,8442.3,75980.7,6078.46,66654.9,82059.16,9325.8,11.36,0.0,Stripe,Delivered,WH-Central,USD,1.0,Partner,Organic,2023-01-21 10:42:00
ORD-10018,REF-2023-960394,2023-03-23 22:00:00,2023-03-26,CUST-914,Customer_447,Company_59 LLC,Rep_8,Latin America,Brazil,Brazil_City,PRD-1096,Samsung Software Model 85,Software,Samsung,26,1226.71,31894.46,3189.45,28705.01,2296.4,17218.65,31001.41,11486.36,37.05,0.0,PayPal,Delivered,WH-Central,USD,1.0,Online,Email,2023-03-23 21:37:00
ORD-10019,REF-2023-725550,2023-11-25 16:00:00,2023-12-03,CUST-544,Customer_177,Company_187 LLC,Rep_11,Asia Pacific,Japan,Japan_City,PRD-2787,Logitech Electronics Model 78,Electronics,Logitech,23,875.08,20126.84,1006.34,19120.5,1529.64,8358.73,20650.14,10761.77,52.11,0.0,Credit Card,Delivered,WH-Asia,USD,1.0,Retail,Email,2023-11-25 15:57:00
ORD-10020,REF-2023-989208,2023-12-29 13:00:00,2023-12-31,CUST-227,Customer_369,Company_77 LLC,Rep_17,Europe,Germany,Germany_City,PRD-2266,Dell Software Model 86,Software,Dell,86,1381.95,118847.7,17827.15,101020.54999999999,8081.64,62462.34,109102.18999999999,38558.21,35.34,0.0,Stripe,Delivered,WH-Central,USD,1.0,Retail,Organic,2023-12-29 12:33:00
ORD-10021,REF-2023-550770,2023-12-07 12:00:00,2023-12-19,CUST-904,Customer_297,Company_156 LLC,Rep_11,Europe,France,France_City,PRD-2904,Herman Miller Office Supplies Model 57,Office Supplies,Herman Miller,71,1252.25,88909.75,4445.49,84464.26,6757.14,45767.67,91221.4,38696.59,42.42,0.0,Stripe,Delivered,WH-Asia,USD,1.0,Partner,Organic,2023-12-07 11:17:00
ORD-10022,REF-2023-356736,2023-02-13 09:00:00,2023-02-23,CUST-586,Customer_313,Company_197 LLC,Rep_3,Asia Pacific,Japan,Japan_City,PRD-2865,Logitech Furniture Model 54,Furniture,Logitech,29,1211.78,35141.62,0.0,35141.62,2811.33,14399.99,37952.950000000004,20741.63,54.65,0.0,PayPal,Delivered,WH-Europe,USD,1.0,Partner,Referral,2023-02-13 08:44:00
ORD-10023,REF-2023-152657,2023-03-17 20:00:00,2023-03-30,CUST-670,Customer_128,Company_32 LLC,Rep_15,North America,USA,USA_City,PRD-1546,Samsung Software Model 60,Software,Samsung,23,1208.12,27786.76,5557.35,22229.409999999996,1778.35,16871.65,24007.759999999995,5357.76,22.32,0.0,Bank Transfer,Processing,WH-Europe,USD,1.0,Partner,None,2023-03-17 19:31:00
ORD-10024,REF-2023-387936,2023-03-23 23:00:00,2023-04-01,CUST-550,Customer_40,Company_183 LLC,Rep_10,Latin America,Mexico,Mexico_City,PRD-1960,Logitech Furniture Model 35,Furniture,Logitech,99,1168.74,115705.26,11570.53,104134.73,8330.78,75289.34,112465.51,28845.39,25.65,0.0,Bank Transfer,Delivered,WH-Asia,USD,1.0,Online,Organic,2023-03-23 22:50:00
ORD-10025,REF-2023-165290,2023-04-29 12:00:00,2023-05-12,CUST-311,Customer_427,Company_108 LLC,Rep_13,Europe,France,France_City,PRD-4706,Dell Furniture Model 99,Furniture,Dell,54,617.32,33335.28,5000.29,28334.989999999998,2266.8,19546.8,30601.789999999997,8788.19,28.72,0.0,Credit Card,Shipped,WH-Asia,USD,1.0,Partner,Referral,2023-04-29 11:59:00
ORD-10026,REF-2023-452457,2023-06-30 09:00:00,2023-07-14,CUST-784,Customer_348,Company_104 LLC,Rep_6,Latin America,Mexico,Mexico_City,PRD-4442,Microsoft Furniture Model 60,Furniture,Microsoft,29,416.67,12083.43,1208.34,10875.09,870.01,4973.66,11745.1,5901.43,50.25,0.0,PayPal,Processing,WH-Asia,USD,1.0,Online,Referral,2023-06-30 08:22:00
ORD-10027,REF-2023-576786,2023-10-16 21:00:00,2023-10-18,CUST-434,Customer_173,Company_195 LLC,Rep_13,North America,Canada,Canada_City,PRD-2139,Microsoft Furniture Model 97,Furniture,Microsoft,24,84.92,2038.08,203.81,1834.27,146.74,1082.1,1981.01,752.17,37.97,0.0,Stripe,Delivered,WH-East,USD,1.0,Partner,Google Ads,2023-10-16 20:12:00
ORD-10028,REF-2023-121369,2023-10-04 01:00:00,2023-10-11,CUST-736,Customer_79,Company_62 LLC,Rep_5,Europe,France,France_City,PRD-2939,Apple Electronics Model 86,Electronics,Apple,97,56.23,5454.31,0.0,5454.31,436.34,2616.67,5890.650000000001,2837.64,48.17,0.0,Credit Card,Delivered,WH-West,USD,1.0,Partner,Email,2023-10-04 00:10:00
ORD-10029,REF-2023-493537,2023-07-08 05:00:00,2023-07-19,CUST-506,Customer_483,Company_184 LLC,Rep_7,North America,USA,USA_City,PRD-1311,Dell Office Supplies Model 76,Office Supplies,Dell,75,48.26,3619.5,180.98,3438.52,275.08,2281.44,3713.6,1157.08,31.16,0.0,PayPal,Delivered,WH-Central,USD,1.0,Online,None,2023-07-08 04:09:00
ORD-10030,REF-2023-479781,2023-01-22 11:00:00,2023-02-01,CUST-750,Customer_457,Company_118 LLC,Rep_5,Latin America,Mexico,Mexico_City,PRD-2783,IKEA Electronics Model 23,Electronics,IKEA,2,1275.87,2551.74,255.17,2296.5699999999997,183.73,1128.42,2480.2999999999997,1168.15,47.1,0.0,Bank Transfer,Delivered,WH-Asia,USD,1.0,Partner,Referral,2023-01-22 10:32:00
ORD-10031,REF-2023-497399,2023-10-31 08:00:00,2023-11-07,CUST-444,Customer_15,Company_127 LLC,Rep_11,Europe,UK,UK_City,PRD-1744,Microsoft Office Supplies Model 63,Office Supplies,Microsoft,32,1128.21,36102.72,5415.41,30687.31,2454.98,23254.94,33142.29,7432.37,22.43,0.0,PayPal,Delivered,WH-Central,USD,1.0,Direct Sales,Email,2023-10-31 07:03:00
ORD-10032,REF-2023-824156,2023-11-02 22:00:00,2023-11-08,CUST-587,Customer_331,Company_183 LLC,Rep_16,North America,USA,USA_City,PRD-2835,Samsung Electronics Model 3,Electronics,Samsung,93,615.58,57248.94,8587.34,48661.600000000006,3892.93,40261.23,52554.530000000006,8400.37,15.98,0.0,Credit Card,Delivered,WH-Europe,USD,1.0,Retail,Email,2023-11-02 21:17:00
ORD-10033,REF-2023-226516,2023-10-25 11:00:00,2023-11-03,CUST-838,Customer_99,Company_81 LLC,Rep_4,Asia Pacific,Australia,Australia_City,PRD-4042,IKEA Office Supplies Model 69,Office Supplies,IKEA,90,686.08,61747.2,3087.36,58659.84,4692.79,30908.27,63352.63,27751.57,43.8,0.0,PayPal,Delivered,WH-Europe,USD,1.0,Direct Sales,None,2023-10-25 10:11:00
ORD-10034,REF-2023-232731,2023-09-26 19:00:00,2023-10-02,CUST-380,Customer_24,Company_14 LLC,Rep_18,North America,USA,USA_City,PRD-2196,Samsung Office Supplies Model 90,Office Supplies,Samsung,47,277.37,13036.39,0.0,13036.39,1042.91,8906.56,14079.3,4129.83,29.33,0.0,PayPal,Delivered,WH-Europe,USD,1.0,Online,Google Ads,2023-09-26 18:23:00
ORD-10035,REF-2023-168517,2023-05-26 15:00:00,2023-06-04,CUST-510,Customer_252,Company_19 LLC,Rep_19,Latin America,Mexico,Mexico_City,PRD-3578,Apple Furniture Model 88,Furniture,Apple,33,1412.18,46601.94,4660.19,41941.75,3355.34,20767.45,45297.09,21174.3,46.75,0.0,Credit Card,Delivered,WH-Asia,USD,1.0,Direct Sales,Google Ads,2023-05-26 14:44:00
ORD-10036,REF-2023-420214,2023-03-02 17:00:00,2023-03-16,CUST-682,Customer_318,Company_16 LLC,Rep_20,Latin America,Brazil,Brazil_City,PRD-4932,Microsoft Software Model 95,Software,Microsoft,57,453.06,25824.42,3873.66,21950.76,1756.06,20556.56,23706.82,1394.2,5.88,0.0,Credit Card,Shipped,WH-West,USD,1.0,Retail,Email,2023-03-02 16:17:00
ORD-10037,REF-2023-342720,2023-02-11 05:00:00,2023-02-16,CUST-395,Customer_362,Company_73 LLC,Rep_15,Europe,France,France_City,PRD-1291,Sony Electronics Model 88,Electronics,Sony,1,618.69,618.69,123.74,494.95000000000005,39.6,319.56,566.2700000000001,143.67,25.37,31.72,PayPal,Shipped,WH-Asia,USD,1.0,Retail,Referral,2023-02-11 04:52:00
ORD-10038,REF-2023-964278,2023-10-06 07:00:00,2023-10-18,CUST-682,Customer_472,Company_74 LLC,Rep_15,Europe,Germany,Germany_City,PRD-1509,Dell Furniture Model 60,Furniture,Dell,8,257.22,2057.76,102.89,1954.8700000000001,156.39,1312.89,2111.26,641.98,30.41,0.0,Bank Transfer,Delivered,WH-Central,USD,1.0,Partner,Referral,2023-10-06 06:54:00
ORD-10039,REF-2023-703139,2023-11-03 01:00:00,2023-11-11,CUST-701,Customer_487,Company_6 LLC,Rep_9,Asia Pacific,China,China_City,PRD-3360,Apple Office Supplies Model 6,Office Supplies,Apple,12,351.1,4213.2,842.64,3370.56,269.64,3094.1,3640.2,276.46,7.59,0.0,PayPal,Delivered,WH-Europe,USD,1.0,Direct Sales,Organic,2023-11-03 00:22:00
ORD-10040,REF-2023-445824,2023-08-12 20:00:00,2023-08-21,CUST-521,Customer_356,Company_127 LLC,Rep_10,North America,Canada,Canada_City,PRD-3713,Herman Miller Office Supplies Model 52,Office Supplies,Herman Miller,43,488.38,21000.34,0.0,21000.34,1680.03,15605.21,22680.37,5395.13,23.79,0.0,Credit Card,Delivered,WH-Central,USD,1.0,Direct Sales,Email,2023-08-12 19:52:00
ORD-10041,REF-2023-896907,2023-07-26 16:00:00,2023-07-28,CUST-152,Customer_105,Company_69 LLC,Rep_18,Latin America,Mexico,Mexico_City,PRD-1536,Samsung Electronics Model 37,Electronics,Samsung,67,549.05,36786.35,3678.64,33107.71,2648.62,23917.14,35756.33,9190.57,25.7,0.0,Stripe,Shipped,WH-Europe,USD,1.0,Online,Google Ads,2023-07-26 15:19:00
ORD-10042,REF-2023-223172,2023-11-08 07:00:00,2023-11-21,CUST-763,Customer_427,Company_40 LLC,Rep_16,Europe,Germany,Germany_City,PRD-4820,Herman Miller Electronics Model 92,Electronics,Herman Miller,12,344.8,4137.6,0.0,4137.6,331.01,2418.75,4468.610000000001,1718.85,38.46,0.0,Bank Transfer,Delivered,WH-Central,USD,1.0,Partner,Referral,2023-11-08 06:29:00
ORD-10043,REF-2023-925981,2023-05-05 14:00:00,2023-05-15,CUST-619,Customer_137,Company_1 LLC,Rep_10,Europe,Germany,Germany_City,PRD-3973,Sony Furniture Model 39,Furniture,Sony,9,421.61,3794.49,379.45,3415.04,273.2,2033.66,3688.24,1381.38,37.45,0.0,Stripe,Shipped,WH-Europe,USD,1.0,Partner,Email,2023-05-05 13:38:00
ORD-10044,REF-2023-880879,2023-10-10 17:00:00,2023-10-18,CUST-584,Customer_362,Company_98 LLC,Rep_13,Latin America,Mexico,Mexico_City,PRD-3718,Samsung Furniture Model 84,Furniture,Samsung,74,580.63,42966.62,4296.66,38669.96000000001,3093.6,17936.8,41763.560000000005,20733.16,49.64,0.0,PayPal,Delivered,WH-East,USD,1.0,Retail,None,2023-10-10 16:22:00
ORD-10045,REF-2023-919488,2023-06-19 03:00:00,2023-06-28,CUST-371,Customer_174,Company_160 LLC,Rep_13,North America,Canada,Canada_City,PRD-3661,Sony Electronics Model 11,Electronics,Sony,53,1307.69,69307.57,0.0,69307.57,5544.61,29797.49,74852.18000000001,39510.08,52.78,0.0,Bank Transfer,Shipped,WH-Asia,USD,1.0,Partner,Email,2023-06-19 02:19:00
ORD-10046,REF-2023-838083,2023-09-07 17:00:00,2023-09-09,CUST-993,Customer_52,Company_114 LLC,Rep_6,North America,USA,USA_City,PRD-3842,Samsung Office Supplies Model 39,Office Supplies,Samsung,96,144.67,13888.32,0.0,13888.32,1111.07,9779.43,14999.39,4108.89,27.39,0.0,Credit Card,Delivered,WH-East,USD,1.0,Direct Sales,Email,2023-09-07 16:36:00
ORD-10047,REF-2023-352528,2023-08-09 04:00:00,2023-08-14,CUST-609,Customer_468,Company_150 LLC,Rep_5,Latin America,Brazil,Brazil_City,PRD-1951,Sony Furniture Model 60,Furniture,Sony,11,918.14,10099.54,1009.95,9089.59,727.17,6543.33,9816.76,2546.26,25.94,0.0,Bank Transfer,Delivered,WH-East,USD,1.0,Partner,Email,2023-08-09 03:16:00
ORD-10048,REF-2023-503380,2023-10-07 05:00:00,2023-10-10,CUST-973,Customer_248,Company_28 LLC,Rep_8,Latin America,Mexico,Mexico_City,PRD-2562,Herman Miller Office Supplies Model 74,Office Supplies,Herman Miller,89,382.65,34055.85,1702.79,32353.059999999998,2588.24,16336.14,34941.299999999996,16016.92,45.84,0.0,Bank Transfer,Delivered,WH-Central,USD,1.0,Online,Referral,2023-10-07 04:42:00
ORD-10049,REF-2023-751051,2023-01-05 18:00:00,2023-01-17,CUST-356,Customer_348,Company_194 LLC,Rep_5,North America,Canada,Canada_City,PRD-3573,Samsung Office Supplies Model 13,Office Supplies,Samsung,78,1204.88,93980.64,0.0,93980.64,7518.45,61524.16,101499.09,32456.48,31.98,0.0,Credit Card,Delivered,WH-Europe,USD,1.0,Online,None,2023-01-05 17:36:00
ORD-10050,REF-2023-483629,2023-03-09 02:00:00,2023-03-15,CUST-643,Customer_257,Company_70 LLC,Rep_6,Asia Pacific,China,China_City,PRD-2052,Sony Software Model 62,Software,Sony,26,206.92,5379.92,806.99,4572.93,365.83,4038.08,4938.76,534.85,10.83,0.0,Bank Transfer,Delivered,WH-Central,USD,1.0,Online,Referral,2023-03-09 01:55:00
ORD-10051,REF-2023-805000,2023-03-14 07:00:00,2023-03-26,CUST-368,Customer_300,Company_98 LLC,Rep_12,Latin America,Mexico,Mexico_City,PRD-1443,Herman Miller Electronics Model 87,Electronics,Herman Miller,2,404.04,808.08,0.0,808.08,64.65,540.71,898.2,241.9,26.93,25.47,PayPal,Delivered,WH-Asia,USD,1.0,Direct Sales,None,2023-03-14 06:45:00
ORD-10052,REF-2023-616554,2023-11-28 02:00:00,2023-12-10,CUST-218,Customer_50,Company_61 LLC,Rep_18,Latin America,Mexico,Mexico_City,PRD-1555,Dell Software Model 50,Software,Dell,18,77.57,1396.26,0.0,1396.26,111.7,728.49,1507.96,667.77,44.28,0.0,Stripe,Delivered,WH-Asia,USD,1.0,Partner,,2023-11-28 01:12:00
ORD-10053,REF-2023-347582,2023-03-21 13:00:00,2023-04-02,CUST-975,Customer_186,Company_26 LLC,Rep_12,North America,Canada,Canada_City,PRD-3230,Logitech Software Model 83,Software,Logitech,5,1038.52,5192.6,0.0,5192.6,415.41,2997.96,5608.01,2194.64,39.13,0.0,Bank Transfer,Delivered,WH-Central,USD,1.0,Retail,Google Ads,2023-03-21 12:05:00
ORD-10054,REF-2023-315173,2023-08-21 02:00:00,2023-09-02,CUST-170,Customer_425,Company_196 LLC,Rep_18,Europe,France,France_City,PRD-1848,Apple Electronics Model 76,Electronics,Apple,43,372.92,16035.56,0.0,16035.56,1282.84,11462.08,17318.399999999998,4573.48,26.41,0.0,PayPal,Shipped,WH-West,USD,1.0,Direct Sales,Organic,2023-08-21 01:09:00
ORD-10055,REF-2023-475644,2023-11-02 00:00:00,2023-11-08,CUST-908,Customer_404,Company_61 LLC,Rep_19,Europe,UK,UK_City,PRD-2326,Sony Office Supplies Model 3,Office Supplies,Sony,15,994.98,14924.7,0.0,14924.7,1193.98,6756.73,16118.68,8167.97,50.67,0.0,PayPal,Delivered,WH-West,USD,1.0,Partner,None,2023-11-01 23:52:00
ORD-10056,REF-2023-921273,2023-02-02 15:00:00,2023-02-11,CUST-987,Customer_338,Company_134 LLC,Rep_10,Asia Pacific,China,China_City,PRD-2876,Microsoft Electronics Model 83,Electronics,Microsoft,65,340.11,22107.15,3316.07,18791.08,1503.29,9226.33,20294.370000000003,9564.75,47.13,0.0,Credit Card,Delivered,WH-Europe,USD,1.0,Partner,Referral,2023-02-02 14:16:00
ORD-10057,REF-2023-763829,2023-02-25 15:00:00,2023-03-10,CUST-699,Customer_281,Company_183 LLC,Rep_11,Latin America,Brazil,Brazil_City,PRD-2560,IKEA Electronics Model 77,Electronics,IKEA,78,231.02,18019.56,0.0,18019.56,1441.56,9190.09,19461.120000000003,8829.47,45.37,0.0,Bank Transfer,Delivered,WH-Asia,USD,1.0,Partner,Google Ads,2023-02-25 14:09:00
ORD-10058,REF-2023-865054,2023-12-26 03:00:00,2024-01-07,CUST-197,Customer_161,Company_110 LLC,Rep_11,Europe,Germany,Germany_City,PRD-3724,Samsung Software Model 33,Software,Samsung,53,515.01,27295.53,2729.55,24565.98,1965.28,15271.63,26531.26,9294.35,35.03,0.0,Bank Transfer,Processing,WH-Europe,USD,1.0,Online,Google Ads,2023-12-26 02:06:00
ORD-10059,REF-2023-228168,2023-02-13 02:00:00,2023-02-21,CUST-520,Customer_182,Company_171 LLC,Rep_14,North America,Canada,Canada_City,PRD-4555,Apple Furniture Model 93,Furniture,Apple,76,1435.37,109088.12,16363.22,92724.9,7417.99,58019.43,100142.89,34705.47,34.66,0.0,Credit Card,Processing,WH-Asia,USD,1.0,Direct Sales,Email,2023-02-13 01:53:00
ORD-10060,REF-2023-899649,2023-10-23 16:00:00,2023-10-28,CUST-385,Customer_294,Company_58 LLC,Rep_14,Europe,France,France_City,PRD-4461,Samsung Software Model 72,Software,Samsung,14,531.67,7443.38,1116.51,6326.87,506.15,4071.71,6833.0199999999995,2255.16,33.0,0.0,Credit Card,Delivered,WH-Central,USD,1.0,Online,Organic,2023-10-23 15:42:00
ORD-10061,REF-2023-763928,2023-12-26 09:00:00,2024-01-02,CUST-131,Customer_47,Company_192 LLC,Rep_17,Asia Pacific,Japan,Japan_City,PRD-1881,Sony Furniture Model 49,Furniture,Sony,73,989.44,72229.12,0.0,72229.12,5778.33,32990.64,78007.45,39238.48,50.3,0.0,Stripe,Delivered,WH-West,USD,1.0,Direct Sales,Email,2023-12-26 08:13:00
ORD-10062,REF-2023-564637,2023-06-16 18:00:00,2023-06-27,CUST-777,Customer_218,Company_125 LLC,Rep_20,North America,USA,USA_City,PRD-2810,Sony Furniture Model 54,Furniture,Sony,97,930.58,90266.26,18053.25,72213.01,5777.04,39052.13,77990.04999999999,33160.88,42.52,0.0,Bank Transfer,Delivered,WH-Asia,USD,1.0,Online,Email,2023-06-16 17:32:00
ORD-10063,REF-2023-416061,2023-02-26 09:00:00,2023-03-10,CUST-316,Customer_393,Company_36 LLC,Rep_9,Latin America,Mexico,Mexico_City,PRD-2185,Samsung Electronics Model 42,Electronics,Samsung,51,1476.82,75317.82,0.0,75317.82,6025.43,30358.72,81343.25,44959.1,55.27,0.0,Credit Card,Delivered,WH-Europe,USD,1.0,Retail,Organic,2023-02-26 08:35:00
ORD-10064,REF-2023-703727,2023-09-30 22:00:00,2023-10-05,CUST-539,Customer_294,Company_104 LLC,Rep_14,Asia Pacific,Japan,Japan_City,PRD-2185,Apple Software Model 15,Software,Apple,56,37.92,2123.52,0.0,2123.52,169.88,1581.69,2293.4,541.83,23.63,0.0,Stripe,Delivered,WH-Central,USD,1.0,Retail,None,2023-09-30 21:30:00
ORD-10065,REF-2023-425346,2023-12-20 11:00:00,2023-12-23,CUST-863,Customer_174,Company_57 LLC,Rep_11,Latin America,Brazil,Brazil_City,PRD-4191,Herman Miller Furniture Model 22,Furniture,Herman Miller,76,606.67,46106.92,0.0,46106.92,3688.55,25741.8,49795.47,20365.12,40.9,0.0,Credit Card,Delivered,WH-East,USD,1.0,Retail,Email,2023-12-20 10:37:00
ORD-10066,REF-2023-910389,2023-11-27 04:00:00,2023-12-02,CUST-743,Customer_253,Company_119 LLC,Rep_19,North America,USA,USA_City,PRD-4112,Samsung Office Supplies Model 75,Office Supplies,Samsung,23,907.57,20874.11,4174.82,16699.29,1335.94,8978.82,18035.23,7720.47,42.81,0.0,Stripe,Delivered,WH-Asia,USD,1.0,Direct Sales,Email,2023-11-27 03:50:00
